Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
12,2,1,(26 5),(16 13),222,180,230,(26 5) (26 6) (26 7) (26 8) (26 9) (25 9) (24 9) (24 10) (23 10) (22 10) (21 10) (21 11) (20 11) (20 12) (19 12) (18 12) (17 12) (17 13) (16 13) 
12,2,2,(26 5),(16 13),174,134,230,(26 5) (26 6) (26 7) (26 8) (26 9) (26 10) (26 11) (26 12) (26 13) (25 13) (24 13) (23 13) (22 13) (21 13) (20 13) (19 13) (18 13) (17 13) (16 13) 
12,3,1,(26 5),(16 13),206,162,192,(26 5) (26 6) (26 7) (26 8) (25 8) (24 8) (23 8) (22 8) (21 8) (21 9) (21 10) (21 11) (20 11) (19 11) (18 11) (17 11) (17 12) (17 13) (16 13) 
12,3,2,(26 5),(16 13),148,94,192,(26 5) (26 6) (26 7) (26 8) (25 8) (24 8) (23 8) (22 8) (21 8) (21 9) (21 10) (21 11) (20 11) (19 11) (18 11) (17 11) (17 12) (17 13) (16 13) 
12,4,1,(26 5),(16 13),138,87,155,(26 5) (26 6) (26 7) (26 8) (26 9) (26 10) (25 10) (24 10) (23 10) (22 10) (21 10) (20 10) (19 10) (18 10) (17 10) (16 10) (16 11) (16 12) (16 13) 
12,4,2,(26 5),(16 13),53,19,155,(26 5) (26 6) (26 7) (26 8) (26 9) (26 10) (25 10) (24 10) (23 10) (22 10) (21 10) (20 10) (19 10) (18 10) (17 10) (16 10) (16 11) (16 12) (16 13) 
13,1,1,(29 8),(26 1),51,35,100,(29 8) (29 7) (29 6) (29 5) (29 4) (29 3) (28 3) (27 3) (27 2) (26 2) (26 1) 
13,1,2,(29 8),(26 1),51,29,100,(29 8) (28 8) (27 8) (26 8) (26 7) (26 6) (26 5) (26 4) (26 3) (26 2) (26 1) 
13,2,1,(29 8),(26 1),59,43,115,(29 8) (29 7) (29 6) (29 5) (29 4) (29 3) (29 2) (28 2) (27 2) (27 1) (26 1) 
13,2,2,(29 8),(26 1),50,29,115,(29 8) (29 7) (29 6) (29 5) (29 4) (29 3) (29 2) (29 1) (28 1) (27 1) (26 1) 
13,3,1,(29 8),(26 1),56,35,102,(29 8) (29 7) (29 6) (29 5) (29 4) (28 4) (27 4) (26 4) (26 3) (26 2) (26 1) 
13,3,2,(29 8),(26 1),46,22,102,(29 8) (29 7) (29 6) (29 5) (29 4) (28 4) (27 4) (26 4) (26 3) (26 2) (26 1) 
13,4,1,(29 8),(26 1),40,22,94,(29 8) (29 7) (29 6) (29 5) (29 4) (29 3) (29 2) (28 2) (27 2) (26 2) (26 1) 
13,4,2,(29 8),(26 1),29,11,97,(29 8) (29 7) (29 6) (29 5) (29 4) (29 3) (28 3) (27 3) (26 3) (26 2) (26 1) 
